,popularity,budget,revenue,runtime,vote_average,vote_count,percent_return,year,is_english,is_Friday,is_Holiday
58,186.732,120000000.0,401748820.0,116.0,7.045,4397.0,3.347906833333333,2022,1,0,0
59,185.035,60000000.0,487853320.0,90.0,7.716,14953.0,8.130888666666667,2001,1,1,0
60,184.474,17000000.0,161440742.0,103.0,7.8,3568.0,9.496514235294118,2022,1,0,0
61,180.16,45000000.0,763455561.0,89.0,8.3,16273.0,16.96567913333333,1994,1,0,0
62,179.788,40000000.0,571006128.0,125.0,5.89,10726.0,14.2751532,2015,1,0,0
63,177.421,24000000.0,140041405.0,114.0,6.7,2084.0,5.835058541666666,2022,1,0,0
64,173.527,50000000.0,83000000.0,126.0,7.4,226.0,1.66,2022,1,0,0
65,173.523,220000000.0,1518815515.0,143.0,7.707,28233.0,6.903706886363636,2012,1,0,0
66,173.078,260000000.0,592461732.0,100.0,7.581,10024.0,2.2786989692307693,2010,1,0,0
67,169.188,37000000.0,173567581.0,133.0,7.398,6400.0,4.691015702702702,2015,1,0,0
68,168.131,55000000.0,326709727.0,131.0,7.435,8648.0,5.940176854545455,2019,1,0,0
69,165.563,80000000.0,250162278.0,100.0,7.7,1391.0,3.127028475,2022,1,0,0
70,164.912,90000000.0,203000000.0,105.0,7.432,1116.0,2.2555555555555555,2022,1,0,0
71,162.712,70000000.0,69633110.0,137.0,7.116,3161.0,0.9947587142857144,2022,1,0,0
72,161.542,50000000.0,214215889.0,130.0,6.979,4550.0,4.28431778,2018,1,0,0
73,161.315,74000000.0,190844029.0,112.0,6.654,2567.0,2.578973364864865,2022,1,0,0
74,159.382,200000000.0,49750471.0,95.0,7.893,7112.0,0.248752355,2021,1,0,0
75,157.946,30000000.0,373554033.0,81.0,7.966,16398.0,12.4518011,1995,1,0,0
76,156.966,146000000.0,67295363.0,130.0,6.4,2255.0,0.4609271438356164,2022,1,0,0
77,156.616,356000000.0,2799439100.0,181.0,8.269,22702.0,7.86359297752809,2019,1,0,0
78,156.561,175000000.0,800526015.0,105.0,8.226,16900.0,4.574434371428572,2017,1,1,0
